,a,[ei],art.一(个)；每一(个)；(同类事物中)任一个
,inborn,['in'b?:n],a.天生的，天赋的
,incandescence,"[,ink?n'des?ns]",n.白炽，炽热发光
,incandescent,[?ink?n'desnt;?ink?n'des?nt],"a.遇热发光的,白炽的"
,incantation,"[,ink?n'tei??n]",n.咒语
,incapacitate,[?ink?'p?siteit],vt.使失去能力;使不胜任
,incarcerate,[in'kɑ:s?reit],v.使下狱，监禁
,incarnate,['inkɑ:neit],a.具有肉体的；化身的
,incendiary,[in'sendj?ri],a.放火的，纵火的
,incense,"['insens,in'sens]",n.香，香味；v.激怒
,incentive,[in'sentiv],n.刺激，鼓励；刺激因素
,inception,[in'sep??n],n.开端，开始；取得学位
,incertitude,[in's?:titju:d],n.疑惑，不确定
,incessant,[in'sesnt],a.无间断的，连续的
,inch,[int?],v.慢慢前进，慢慢移动
,inchoate,['ink?ueit],a.刚开始的，未发展的
,incidence,['insid?ns],n.事情发生；发生率
,incident,['insid?nt],"n.事件,事变"
,incidentally,"[,insi'dent?li]","ad.附带地,顺便提及"
,incinerate,[in'sin?reit],v.焚化
,incineration,[in?sin?'rei??n],"n.焚化,毁弃"
cipi,incipient,[in'sipi?nt],a.初期的，刚出现的
,incise,[in'saiz],v.切，切割
,incision,[in'si??n],n.切口；切割
,incisive,[in'saisiv],a.一针见血的
,incisor,[in'saiz?],n.门牙
,incitant,[in'sait?nt],"n.兴奋剂;a.兴奋的,刺激的"
,incite,[in'sait],v.激发，刺激
,inclement,[in'klem?nt],a.(天气)严酷的；严厉的
,inclination,[?inkli'nei??n;?inkl?'nei??n],n.斜坡;倾向;爱好
,incline,[in'klain],"v.(使)倾斜;(使)倾向于 n.斜坡,斜面"
,inclined,[in'klaind],"a.倾向...的;倾斜的,有坡度的"
,include,[in'klu:d],"v.包括,包含,计入"
,inclusive,[in'klu:siv],a.包含一切的，范围广的
,incogitant,[in'k?d?it?nt],a.无思想的，考虑不周的
,incoherently,[?ink?u'hi?r?ntli],"a.口齿不清的,无逻辑的"
,income,['ink?m],"n.收入,收益,所得"
,incommensurate,"[,ink?'men??rit]",a.不成比例的，不相称的
,incompatible,"[,ink?m'p?t?bl]",a.不能和谐共存的
,incompetent,[in'k?mpit?nt],a.无能力的，不能胜任的
,incomprehensible,[in?k?mpri'hens?bl],"a.不能理解的,费解的"
,inconclusive,[?ink?n'klu:siv],a.非决定的
,incongruent,[in'k??ɡru?nt],a.不协调的，不和谐的，不合适的
,incongruity,"[,ink??'ɡru(:)iti]",n.不协调，不相称
,incongruous,[in'k??gru?s],"a.不协调的,不相称的"
,inconsequential,"[in,k?nsi'kwen??l]",a.不重要的，微不足道的
,inconsistent,[?ink?n'sist?nt],a.不一致的;矛盾的
,inconstancy,[in'k?nst?nsi],n.(指人)反复无常
,incontinence,[in'k?ntin?ns;in'k?nt?n?ns],n.失禁;无节制
,incontrovertible,"[,ink?ntr?'v?:t?bl]",a.无可辩驳的
,inconvenient,[?ink?n'vi:nj?nt],"a.不便的,有困难的"
,incoordinate,[?ink?u'?:dinit;?ink?u'?:dnit],a.不协调的;不对等的
,incorporate,[in'k?:p?reit],v.合并，并入
,incorporation,[in?k?:p?'rei??n],"n.结合,合并"
,incorporeal,"[,ink?:'p?:ri?l]",a.无实体的，非物质的，灵魂的
,incorrigibility,"[in,k?rid??'biliti]",n.无可救药，难以修正
,incorrigible,[in'k?rid??bl],a.积习难改的，不可救药的
,incorrupt,[?ink?'r?pt],a.纯洁的;正直的;廉洁的
,incorruptible,"[,ink?'r?pt?bl]",a.(道德上)不受腐蚀的
,increase,"[in'kri:s, 'inkri:s]","v./n.增加,增长,增进"
,increasingly,[in'kri:si?li],"ad.不断增加地,日益"
,incredible,[in'kred?bl],"a.不可相信的,惊人的,不可思议的"
,incredulity,"[,inkri'dju:liti]",n.怀疑，不相信
,increment,['inkrim?nt],n.增值，增加
,incriminate,"[in'krimi,neit]",v.连累，牵连，使显得有罪
,incrustation,"[,inkr?s'tei??n]",n.硬壳，外层
,incubate,['inkjubeit],v.孵化；潜伏
,incubation,"[,inkju'bei??n]",n.孵卵期；潜伏期
,incubator,['inkjubeit?],n.孵卵器；早产婴儿保育箱
,incubus,['i?kjub?s],n.恶梦；梦魇般的精神压力，负担
,inculcate,[in'k?lkeit],v.灌输，谆谆教诲
,inculcation,[in'k?l?kei??n],"n.谆谆教诲,灌输"
,inculpate,['ink?lpeit],v.连累；控告
,incumbent,[in'k?mb?nt],n.在职者，现任者；a.义不容辞的
,incur,[in'k?:],v.招致，引起
,incurable,[in'kju?r?bl;in'kjur?b?l],a.医不好的;不可救药的;不能矫正的
,incursion,[in'k?:??n],"n.侵犯,入侵"
,indebted,[in'detid],a.感激的，感恩的
,indecipherable,"[,indi'saif?r?bl]",a.无法破译的
,indecisive,"[,indi'saisiv]",a.非决定性的，非最终的；迟疑不决的
,indeed,[in'di:d],"ad.确实,实在;真正地,多么"
,indefatigable,"[,indi'f?tiɡ?bl]",a.不知疲倦的
,indefinite,[in'definit;in'def?nit],a.模糊的;不明确的
,indefinitely,[in'definitli;in'def?nitli],ad.不确定地;无穷尽地
,indelible,[in'delibl],a.擦拭不掉的，不可磨灭的
,indemnify,[in'demnifai],v.赔偿，偿付
,indemnity,[in'demniti],n.赔偿；(为防损失或伤害的)保证，保险
,indent,[in'dent],v.切割成锯齿状
,indented,[in'dentid],"a.锯齿状的,高低不平的"
,indenture,[in'dent??],n.契约，合同
,independence,"[,indi'pend?ns]","n.独立,自主"
,independent,"[,indi'pend?nt]","a.(of)独立的,自主的"
,indeterminate,"[,indi't?:minit]",a.不确定的，不明确的
,index,['indeks],"n.(pl.indexes,indices)索引 v.附以索引"
,indicate,['indikeit],v.显示，指出；象征
,indication,"[,indi'kei??n]","n.指出,指示;表明,暗示"
,indicative,[in'dik?tiv],a.暗示的
,indicator,['indikeit?;'ind??keit?],n.指示器;指示剂;指示物
,indices,['indisi:z],n.指数(index的复数)
,indict,[in'dait],v.控诉，起诉
,indifference,[in'dif?r?ns],"n.冷漠,不关心"
,indifferent,[in'dif?r?nt],a.不感兴趣的，漠不关心的
,indigence,['indid??ns],n.贫穷
,indigenous,[in'did?in?s],a.土产的，本地的
,indigent,['indid??nt],a.贫穷的，贫困的
,indigestion,[?indi'd?est??n;?ind?'d?est??n],n.消化不良
,indignant,[in'diɡn?nt],a.愤慨的，愤愤不平的
,indignation,"[,indiɡ'nei??n]",n.愤慨
,indignity,[in'diɡniti],n.侮辱，轻蔑；侮辱性的言行
,indiscriminate,[?indis'kriminit],a.不加选择的
,indiscriminately,[indi'skriminitli],ad.随意地;不加区别地
,indiscrimination,['indis?krimi'nei??n],n.不加区别，不歧视
,indispensability,"['indis,pens?'bil?ti]",n.不可缺少
,indispensable,"[,indis'pens?bl]","a.(to,for)必不可少的,必需的"
,indisposition,[?indisp?'zi??n],n.不舒服;小病;无意;厌恶
,indistinct,[?indi'sti?kt],a.不清楚的;难辨认的
,indite,[in'dait],v.写，赋(诗文)
,individual,"[,indi'vidju?l]",a.单独的，特有的；n.个人，个体
,individualism,[indi'vidju?liz?m],n.个人主义;利己主义
,indoctrinate,[in'd?ktrineit],v.教导；灌输思想
,indolent,['ind?l?nt],a.懒惰的
,indomethacin,[ind?u'meθ?sin],n.[药]消炎痛
,indomitable,[in'd?mit?bl;in'd?m?t?b?l],a.坚强不屈的;不可征服的
,indoor,['ind?:],"a.室内的,户内的"
,indubitable,[in'dju:bit?bl],a.不容置疑的
,induce,[in'dju:s],v.诱导；引起
,inducement,[in'dju:sm?nt],"n.引诱,劝诱;诱因,动机"
,inducible,[in'dju:sibl;in'dju:s?b?l],a.可诱导的
,induct,[in'd?kt],v.使就职；使入伍
,induction,[in'd?k??n],n.就职，入伍仪式；归纳
,indulge,[in'd?ld?],v.(贬)放纵；满足(不当或不应有的欲望)
,indurate,['indju?reit],v.使坚硬；使习惯于
,industrial,[in'd?stri?l],"a.工业的,产业的"
,industrialization,industrialization,n.工业化
,industrialize,[in'd?tri?laiz],v.(industrialise)(使)工业化
,industrialized,[in'd?stri?laizd],vt.工业化的
,industrious,[in'd?stri?s],a.勤劳的，勤勉的
,industry,['ind?stri],"n.工业,产业;勤劳,勤奋"
,inebriate,[i'ni:brieit],v.使?醉n.酒鬼，酒徒
,inebriated,[in'i:brieitid;in'i:bri?eitid],"a.酒醉的,陶醉的"
,inedible,[in'edibl;in'ed?b?l],a.不适合食用的
,ineffable,[in'ef?bl],a.妙不可言的，难用语言表达的
,ineffaceable,"[,ini'feis?bl]",a.抹不掉的
,ineffectual,"[,ini'fektju?l]",a.无效的，徒劳无益的
,inelastic,[?ini'l?stik;ini'l?stik],a.无弹性的
,inelasticity,"[,inil?s'tisiti]",n.无弹性，无伸缩性
,ineligible,[in'elid??bl],a.没有资格的
,ineluctable,"[,ini'l?kt?bl]",a.不可避免的，难免的
,inept,[i'nept],a.无能的；不适当的
,ineptitude,[i'neptitju:d],n.无能，不称职
,inequity,[in'ekwiti],n.不公正，不公平
,inert,[i'n?:t],a.惰性的；行动迟钝的
,inertia,[i'n?:?j?],n.惰性；懒惰
,inevitable,[in'evit?bl],"a.不可避免的,必然发生的"
,inevitably,[in'evit?bli;in'ev?t?bli],"ad.不可避免地,必然地"
,inexhaustible,"[,iniɡ'z?:st?bl]",a.用不完的，取之不竭的
,inexorable,[in'eks?r?bl],a.不为所动的，无情的；坚决不变的
,inexpedient,"[,iniks'pi:di?nt]",a.不适当的，不明智的
,inexpiable,[in'ekspi?bl],a.不能补偿的
,inexplicable,[in'eksplik?bl],a.无法解释的
,inextricably,[in'ekstrik?bli],ad.无法摆脱地
,infallible,[in'f?l?bl;in'f?l?b?l],"a.一贯正确的,绝对可靠的"
,infancy,['inf?nsi],"n.婴儿期,幼年期;初期"
,infant,['inf?nt],n.婴儿
,infantile,['inf?ntail],a.(贬)幼稚的，孩子气的(尤指大孩子或成人)
,infantry,['inf?ntri],n.步兵
,infarct,[in'fɑ:kt],n.梗塞;梗死
,infatuate,[in'f?tjueit],v.使迷恋；使糊涂
,infatuated,[in'f?tjueitid],a.迷恋(人)的
,infatuation,"[in,f?tju'ei??n]",n.迷恋
,infect,[in'fekt],vt.传染，感染；影响(思想等)
,infection,[in'fek??n],n.传染，感染
,infectious,[in'fek??s],"a.传染的,传染性的,有感染力的"
,infelicitous,"[,infi'lisit?s]",a.不幸的；不妥当的
,infelicity,"[,infi'lisiti]",n.不幸；不恰当
,infer,[in'f?:],v.推断，推定
,inference,['inf?r?ns],"n.推论,推理,推断;结论"
,inferior,[in'fi?ri?],a.下级的，低等的，质次的，较差的
,inferiority,[in?fi?ri'?riti;infiri'?r?ti],n.自卑感
,infernal,[in'f?:nl],a.地狱的；可恶的
,inferno,[in'f?:n?u],n.火海，地狱般的场所
,infertile,[in'f?:tɑil;in'f?:til],"a.不肥沃的,贫瘠的,不结果实的"
,infest,[in'fest],v.(害虫)大批出没以扰乱
,infield,['infi:ld;'in?fi:ld],"n.(棒球,垒球球场的)内场,内野;全体内野手"
,infiltrate,[in'filtreit],v.渗透，渗入
,infinite,['infin?t],"a.无限的,无穷的 n.无限"
,infinitesimal,"[in,fin?'tesim?l]",a.极微小的；n.极小量
,infinitive,[in'finitiv;in'fin?tiv],n.不定式;a.不定的
,infinity,[in'finiti],n.无限的时间或空间
,infirm,[in'f?:m],a.虚弱的
,infirmary,[in'f?:m?ri],"n.医院,医务室(尤指学校等附设的病房或配药处);<美>养老院,救济院"
,inflame,[in'fleim],v.使燃烧；激怒(某人)
,inflamed,[in'fleimd],a.发炎的
,inflammable,[in'fl?m?bl;in'fl?m?b?l],a.易燃的;易激动的
,inflammation,"[,infl?'mei??n]",n.激怒；炽热；炎症
,inflammatory,[in'fl?m?t?ri;in'fl?m??t?uri],a.使激怒的;发炎的
,inflate,[in'fleit],v.使充气，使膨胀
,inflation,[in'flei??n],n.通货膨胀
,inflection,[in'flek??n],"n.弯曲;向内弯曲;[音]变音,变调"
,inflexible,[in'fleks?bl;in'fleks?b?l],a.坚定的
flict,inflict,[in'flikt],v.使遭受(打击，惩罚等)
,infliction,[in'flik??n],n.(强加于人身的)痛苦，刑罚
,influence,['influ?ns],"n.(on)影响,感化;势力,权势 v.影响,感化"
,influential,"[,influ'en??l]",a.有影响的;有权势的
,influenza,[?influ'enz?],n.流行性感冒
,influx,['infl?ks],n.(人或物的)注入，涌入
,inform,[in'f?:m],"v.(of,about)通知,告诉,报告;告发,告密"
,informal,[in'f?:m?l],a.非正式的;不拘礼节的
,information,"[,inf?'mei??n]","n.通知,报告;情报,资料,消息;信息"
,informative,[in'f?:m?tiv],"a.提供消息的,见闻广博的"
,informed,[in'f?:md],a.见多识广的；消息灵通的
,informer,[in'f?:m?],n.告发者，告密者
,infraction,[in'fr?k??n],n.违法
,infrared,"[,infr?'red]",a./n.红外线(的)
,infrastructure,"['infr?,str?kt??]",n.基础结构，基础设施
,infringe,[in'frind?],v.违反，侵害(法规，协议)
,infuriate,[in'fju?rieit],v.使(人)极为愤怒
,infuse,[in'fju:z],v.灌输；鼓励
,infusion,[in'fju:??n],n.灌输;激励
,ingenious,[in'd?i:nj?s],a.聪明的，有发明天才的
,ingeniously,[in'd?i:nj?sli],"ad.天才地,独创地"
,ingénue,[?n?ei'nju:],n.天真无邪的少女
,ingenuity,"[,ind?i'nju:iti]",n.巧思，聪敏
,ingenuous,[in'd?enju?s],a.纯朴的，单纯的，坦率的，天真的
,ingest,[in'd?est],v.咽下，吞下
,ingestion,[in'd?est??n],n.摄取，吸收(食物)；容纳
,ingrained,[in'ɡreind],a.根深蒂固的，极难除掉的
,ingrate,[in'ɡreit],n.忘恩负义的人
,ingratiate,[in'ɡrei?ieit],v.逢迎，讨好
,ingratiating,[in'ɡrei?ieiti?],a.讨好的，谄媚的
,ingredient,[in'ɡri:di?nt],n.成分
,ingress,['inɡres],n.进入
,inhabit,[in'h?bit],v.栖居于，占据
,inhabitant,[in'h?bit?nt],n.居民；栖息的动物
,inhalation,['inh?'lei??n;?inh?'lei??n],n.(医用)吸入;吸入药剂
,inhale,[in'heil],v.吸气
,inherent,[in'hi?r?nt],"a.固有的,内在的,天生的"
,inherit,[in'herit],v.继承
,inheritance,[in'herit?ns],n.遗产
,inherited,[in'heritid],a.遗传的(病等)
,inhibit,[in'hibit],v.抑制
,inhibitor,[in'hibit?(r)],n.抑制剂
,inhumane,"[,inhju(:)'mein]",a.不近人情的，残忍的
,inimical,[i'nimikl],a.敌意的，不友善的
,inimitable,[i'nimit?bl],a.无法仿效的，不可比拟的
,iniquitous,[i'nikwit?s],a.邪恶的，不公正的
,iniquity,[i'nikwiti],n.邪恶，不公正
,initial,[i'ni??l],a.开始的，最初的；n.(姓名的)首字母
,initially,[i'ni??li],"ad.最初,开头"
,initiate,[i'ni?ieit],v.发起，创始；接纳或介绍某人加入某团体等
,initiative,[i'ni?i?tiv],n.主动(权)，主动性
,inject,[in'd?ekt],vt.注射(药液等)；注入
,injection,[in'd?ek??n],n.注射；注射剂
,injunction,[in'd???k??n],n.命令，强制令
,injure,['ind??],"v.损害,损伤,伤害"
,injurious,[in'd?u?ri?s],a.有害的
,injury,['ind??ri],n.伤害，损害
,injustice,[in'd??stis],"n.不公平,不讲道义"
,ink,[i?k],n.墨水，油墨
,inkling,['i?kli?],n.暗示，迹象；略知，模糊概念
,inland,"['inl?nd, -l?nd]","a./ad.国内,内地,内陆"
,inlet,"['inlet, -lit, in'let]","n.水湾,小湾;进口,入口"
,inn,[in],"n.小旅馆,客栈"
,innate,['ineit],a.生来的，天赋的
,inner,['in?],"a.内部的,里面的;内心的"
,innermost,['in?m?ust;'in??m?ust],"a.最里面的;内心的,秘密的"
,innocence,['in?sns],n.无辜，清白
,innocent,['in?s?nt],"a.(of)清白的,无罪的;无害的;单纯的,无知的"
,innocuous,[i'n?kju?s],a.(行为，言论等)无害的
,innovation,"[,in?u'vei??n]",n.创新，改革
,innovative,['in?uveitiv],a.革新的
,innuendo,"[,inju'end?u]",n.含沙射影，暗讽
,innumerable,[i'nuj:m?r?bl],"a.无数的,数不清的"
,inoculate,[i'n?kjuleit],v.预防注射，打预防针
,inoffensive,[?in?'fensiv],"a.无害的,不触犯人的,让人不讨厌的"
,inoperable,[in'?p?r?bl;in'?p?r?b?l],a.不能(宜)动手术的
,inordinate,[in'?:dinit],a.过度的，过分的
,inorganic,['in?:'g?nik;?in?:'g?nik],a.无机的;无生物的
,inorganic chemical,['in?:'g?nik;?in?:'g?nik],n.无机化合物
,inpatient,['in?pei??nt],n.住院病人
,input,['input],n./v.输入
,inquire,[in'kwai?],v.询问;探听;问讯
,inquiry,[in'kwai?ri],n.询问
,inquisitive,[in'kwizitiv],a.过分好问的；好奇的
,inquisitorial,[in?kwizi't?:ri?l],a.审问官似的;爱打听别人事情的
,inroad,['inr?ud],n.突袭；消耗
,insane,[in'sein],a.疯狂的
,insanitary,[in's?nit?ri;in's?n??teri],a.不卫生的;有害健康的;易引起疾病的
,insanity,[in's?niti],n.疯狂；愚昧
,insatiable,[in'sei??bl],a.不能满足的，贪心的
,inscribe,[in'skraib],v.在某物上写，题(词，字)
,inscription,[in'skrip??n],n.铭刻；题字
,inscrutable,[in'skru:t?bl],a.高深莫测的，不可理解的，神秘的
,insect,['insekt],n.昆虫
,insecticide,[in'sektisaid],n.杀虫剂
,inseminate,[in'semineit;in'sem?neit],v.播种于;使受胎;栽植
,insensate,[in'senseit],a.无感觉的；蠢笨的
,insensive,[in'sen??nt],a.感觉迟钝的;不敏感的
,insentient,[in'sen??nt],a.无知觉的，无生命的
,insert,[in's?:t],v.插入
,inside,"[,in'said, 'in-]",a.里面的 ad.在里面 n.内部 prep.在…里
,insider,[in'said?(r)],n.局内人，圈内人
,insidious,[in'sidi?s],a.隐藏诡计的，暗中为害的
,insight,['insait],"n.洞察力,见识"
,insignia,[in'siɡni?],n.徽章，袖章
,insignificant,[?insig'nifik?nt;?insig'nif?k?nt],"a.无关紧要的,可忽略的,无意义的"
,insincerity,"[,insin'seriti]",n.伪善，不真诚
,insinuate,[in'sinjueit],v.暗指，暗示
,insipid,[in'sipid],a.乏味的，枯燥的
,insist,[in'sist],"vi.(on)坚持要求,坚决主张,坚持"
,insistence,[in'sist?ns],n.坚持
,insofar as,[?ins?u'fɑ:],"在...的限度内,在...的范围内"
,insolate,['ins?uleit],v.使曝晒
,insolation,[?ins?u'lei??n;?ins?'lei??n],n.曝晒;日光浴;中暑
,insolence,['ins?l?ns],n.傲慢，无礼
,insolent,['ins?l?nt],a.粗野的，无礼的
,insoluble,[in's?ljubl],a.不溶解的；不能解决的
,insolvency,[in's?lv?nsi],n.无力偿还；破产
,insomnia,[in's?mni?],n.失眠症
,insouciance,[in'su:sj?ns],n.漠不关心，漫不经心
,insouciant,[in'su:si?nt],a.漫不经心的，漠不关心的
,inspect,[in'spekt],"vt.检查,调查,视察"
,inspection,[in'spek??n],n.检查，细看
,inspector,[in'spekt?],"n.检查员,巡视员"
,inspiration,"[,insp?'rei??n]",n.启示，灵感
,inspire,[in'spai?],"vt.鼓舞,激起;使产生灵感"
,inspired,[in'spai?d],a.有创见的，有灵感的
,inspiring,[in'spai?ri?;in'spairi?],"a.使人振奋的,鼓舞的"
,instability,[?inst?'biliti;?inst?'bil?ti],n.不稳定(性)
,install,[in'st?:l],v.安装，装置；使就职
,installation,"[,inst?'lei??n]","n.安装,设置;装置,设备"
,installment,[in'st?:lm?nt],n.分期付款；安装
,instance,['inst?ns],"n.例子,事例,例证"
,instant,['inst?nt],"a.立即的;紧迫的;(食品)速溶的 n.瞬间,时刻"
,instantaneous,"[,inst?n'teinj?s]",a.立即的，瞬间发生的
,instantaneously,[?inst?n'teinj?sli],"ad.即刻,立即"
,instate,[in'steit],v.任命，安置
,instead,[in'sted],"ad.代替,顶替"
,instigate,['instiɡeit],v.发起，煽动
,instill,[in'stil],v.滴注；逐渐灌输
,instillation,[?insti'lei??n],n.滴注
,instinct,['insti?kt],"n.本能,直觉,天性"
,instinctive,[in'sti?ktiv],a.本能的
,instinctively,[in'sti?ktivli],ad.本能地;凭直觉地
,institute,['institju:t],v.制定，创立(社团，规章)；n.学院，协会
,institution,"[,insti'tju:??n]",n.公共机构，协会；制度
,institutionalize,['insti'tju:??n?laiz],v.使制度化
,institutionalized,"[,insti'tju:??n?laizd]",a.制度化的，有组织的
,instruct,[in'str?kt],"v.教,教授;命令,指示"
,instruction,[in'str?k??n],"n.教授;指导;(pl.)用法说明(书),操作指南"
,instructive,[in'str?ktiv],a.传授知识的，启蒙的
,instrument,['instrum?nt],"n.工具,仪器,器械;乐器"
,instrumental,"[,instru'mentl]",a.有帮助的，有作用的
,instrumentalist,[instr?'ment?list],n.乐器演奏者
,insubordinate,"[,ins?'b?:dnit]",a.不服从的，反抗的
,insubstantial,"[,ins?b'st?n??l]",a.非实体的；薄弱的，不坚实的
,insufficiency,[?ins?'fi??nsi],n.不足;不适当
,insufficient,"[,ins?'fi??nt]",a.不足的
,insular,['insjul?],a.岛屿的；心胸狭窄的
,insularity,"[,insju'l?r?ti]","n.岛国状态，岛屿生活状况，与外界隔绝的生活状况；(思想,观点等的)偏狭"
,insulate,['insjuleit],v.使绝缘；使隔离
,insulation,[?insju'lei??n;?ins?'lei??n],n.绝缘;隔离
,insulin,['insjulin],n.胰岛素
,insult,[in's?lt],"vt./n.侮辱,凌辱"
,insulting,[in's?lti?],"a.侮辱性的,欺负人的"
,insuperable,[in'sju:p?r?bl],a.难以克服的
,insurance,[in'?u?r?ns],"n.保险,保险费,保险业"
,insure,[in'?u?],"vt.保险,给…保险;保证"
,insurgent,[in's?:d??nt],a.叛乱的，起事的；n.叛乱分子
,insurmountable,[?ins?'maunt?bl],"a.不能克服的,不能超越的"
,insurrection,"[,ins?'rek??n]",n.造反，叛乱
,intact,[in't?kt],a.完整无损的，未动过的
,intake,['inteik;'in?teik],"n.吸入,收纳;纳入(数量)"
,intangibility,"[in,t?nd??'bil?ti]",n.无形，不可接触
,intangible,[in't?nd??bl],a.无形的，不可触摸的
,integer,['intid??;'int?d??],n.整数
,integral,['intiɡr?l],a.构成整体所必需的；完整的
,integrate,['intiɡreit],v.使成整体
,integrated,['intigreitid;'int?'greitid],"a.整合的,一体化的"
,integrity,[in'teɡriti],n.正直，诚实；完整
,intellect,['intilekt],n.智力，思维能力
,intellectual,"[,inti'lektju?l]",a.智力的，理智的；n.知识分子
,intelligence,[in'telid??ns],"n.智力,聪明;理解力;情报,消息,报导"
,intelligent,[in'telid?ent],"a.聪明的,明智的,理智的"
,intelligentsia,[in?teli'd?entsi?],"n.[in,teli'd ?entsi ?]知识阶层,知识分子(总称)"
,intelligible,[in'telid??bl],a.可(易)了解的，清晰的
